Block,Episode,Start position x,End position y,Goal position x,Goal position y,Agent errors,Agent total movements,Interface errors,Interface total movements,Agent correct %,Interface correct %,Total correct %
BLOCK 10,4,5,1,1,5,0,3,3,11,100.0,72.72727272727273,78.57142857142857
BLOCK 10,5,1,1,5,4,2,7,1,6,71.42857142857143,83.33333333333334,76.92307692307693
BLOCK 10,6,4,5,1,1,0,0,5,17,0,70.58823529411765,70.58823529411765
BLOCK 10,7,5,4,1,1,0,0,1,11,0,90.9090909090909,90.9090909090909
BLOCK 10,8,5,1,1,5,2,8,0,4,75.0,100.0,83.33333333333334
BLOCK 10,9,5,5,1,2,0,0,5,19,0,73.68421052631578,73.68421052631578
BLOCK 10,10,1,1,4,5,0,0,3,13,0,76.92307692307693,76.92307692307693
BLOCK 10,11,5,4,1,1,0,0,2,11,0,81.81818181818183,81.81818181818183
BLOCK 10,12,2,5,5,1,2,7,3,10,71.42857142857143,70.0,70.58823529411765
BLOCK 10,13,1,2,5,5,3,8,1,7,62.5,85.71428571428571,73.33333333333333
BLOCK 11,1,1,5,4,1,1,5,1,6,80.0,83.33333333333334,81.81818181818183
BLOCK 11,2,1,2,5,5,0,0,1,9,0,88.88888888888889,88.88888888888889
BLOCK 11,3,1,5,4,1,1,5,0,4,80.0,100.0,88.88888888888889
BLOCK 11,4,5,5,1,1,5,17,2,5,70.58823529411765,60.0,68.18181818181817
BLOCK 11,5,1,4,5,1,0,4,0,5,100.0,100.0,100.0
BLOCK 11,6,5,1,1,5,4,11,6,15,63.63636363636363,60.0,61.53846153846154
BLOCK 11,7,5,1,2,5,0,4,1,5,100.0,80.0,88.88888888888889
BLOCK 11,8,1,1,5,5,0,1,3,13,100.0,76.92307692307693,78.57142857142857
BLOCK 11,9,5,1,1,5,1,7,2,7,85.71428571428571,71.42857142857143,78.57142857142857
BLOCK 11,10,1,1,5,4,0,0,1,9,0,88.88888888888889,88.88888888888889
BLOCK 11,11,4,1,1,5,0,3,0,4,100.0,100.0,100.0
BLOCK 11,12,5,5,2,1,3,11,0,2,72.72727272727273,100.0,76.92307692307693
BLOCK 11,13,2,5,5,1,2,6,1,7,66.66666666666666,85.71428571428571,76.92307692307693
BLOCK 12,1,1,2,5,5,1,6,0,3,83.33333333333334,100.0,88.88888888888889
BLOCK 12,2,1,2,5,5,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 12,3,5,4,1,1,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 12,4,1,5,4,1,0,5,1,4,100.0,75.0,88.88888888888889
BLOCK 12,5,2,5,5,1,1,6,1,5,83.33333333333334,80.0,81.81818181818183
BLOCK 12,6,1,4,5,1,0,1,1,8,100.0,87.5,88.88888888888889
BLOCK 12,7,5,1,1,4,4,11,2,8,63.63636363636363,75.0,68.42105263157895
BLOCK 12,8,5,5,2,1,2,8,9,23,75.0,60.86956521739131,64.51612903225806
BLOCK 12,9,5,4,1,1,0,2,0,5,100.0,100.0,100.0
BLOCK 12,10,5,4,1,1,4,12,1,5,66.66666666666666,80.0,70.58823529411765
BLOCK 12,11,5,5,1,1,1,6,0,4,83.33333333333334,100.0,90.0
BLOCK 12,12,1,5,5,2,0,0,0,7,0,100.0,100.0
BLOCK 12,13,5,5,1,1,1,5,1,7,80.0,85.71428571428571,83.33333333333334
